0,Simon dataset,Where are the houses for sale in Utrecht?,0
1,Simon dataset,Where are the houses for sale and built between 1990 and 2000 in Utrecht?,0
2,Simon dataset,Where are the cafes in forested areas in Happy Valley ski resort?,0
3,Simon dataset,What is the predominant land use type in the Happy Valley resort?,0
4,Simon dataset,Where could a new ski piste be located?,0
5,Simon dataset,What is the predicted snowfall for the new ski piste?,0
6,Simon dataset,What would be the quickest route by road from the center of the resort to this new ski piste?,0
7,Simon dataset,What are the slope and aspect of the new ski piste?,0
8,Simon dataset,From where will the new ski piste be visible?,0
9,Simon dataset,What is the relationship between hotel room prices and proximity to ski lift stations in the Happy Valley resort?,0
10,Simon dataset,What is the quickest route for the ski bus to pick up 5 sets of customers scattered across the Happy Valley resort?,0
11,Simon dataset,"Which ski pistes are in the avalanche danger zones given recordings of snow depth, surface temperature, snow water content and snow strength?",0
12,Simon dataset,What is the pattern of accidents on ski pistes?,0
13,Simon dataset,Where are the ski pistes in Happy Valley ski resort?,0
14,Simon dataset,What visitor facilities are located in the Happy Valley?,0
15,Simon dataset,What is the effect of road widening on surrounding land uses?,0
16,Simon dataset,What will be the long-term consequences of continuing recreational activity for the landscape?,0
17,Simon dataset,Where will damage from acid rain occur if a particular industrial plant continues to operate?,0
18,Simon dataset,Where should landscape conservation zones be established?,0
19,Simon dataset,Where is the best location for the re-introduction of certain bird species?,0
20,Simon dataset,What landscape locations are likely to retain water given topography?,0
21,Simon dataset,What is the estimated casualty from a tsunami given affected coastlines in high-resolution satellite imagery?,0
22,Simon dataset,"What are the areas covered by cameras in Salford, England?",0
23,Simon dataset,What are the locations of potential bus stops that maximize the overall population catchment area?,0
24,Simon dataset,Where is the most popular ski piste in Happy Valley ski resort?,0
25,Simon dataset,What are the zoning categories in Utrecht?,0
26,Simon dataset,Which trees are ready to be harvested given tree age?,0
27,Simon dataset,What political parties are favored in different counties of the United States?,0
28,Simon dataset,What is the crime distribution in Amsterdam in 2018?,0
29,Simon dataset,Where is a suitable place for opening a bank based on the mean center of customers?,0
30,Simon dataset,Which bank branch is suitable to schedule a meeting based on the mean center of employees?,0
31,Simon dataset,Where is a suitable place to build three library branches in Oleander city?,0
32,Simon dataset,Which areas are not serviced by libraries in Oleander?,0
33,Simon dataset,Where are suitable places for building a fire station that can quickly respond to the highest-priority calls in Fort Worth?,0
34,Simon dataset,Where does the Fort Worth police department assign a specific task force to deal with the most dangerous crimes?,0
35,Simon dataset,Where is the longest ski piste in Happy Valley ski resort?,0
36,Simon dataset,Where is a suitable place to open an office that is nearest to their best customers?,0
37,Simon dataset,Where is a suitable place to schedule meetings can be closest to most employees?,0
38,Simon dataset,Which police stations are making more runs outside of their normal alarm territory in Fort Worth?,0
40,Simon dataset,Do freeways have directional influence on fire responses of fire stations in Fort Worth?,0
