use,3
were,21
located,2433
ave,2
contains,3
kept,1
live,136
created,7
used,9
axon,1
found,41
find,117
happen,12
originate,5
occur,28
seem,1
buried,66
derived,4
raised,10
born,94
filmed,166
stationed,3
prevails,1
known,11
comprised,1
fly,8
domesticated,3
named,2
get,56
allow,3
manufactured,15
considered,19
based,13
lived,2
fought,2
included,5
donate,1
explore,2
incorporated,5
see,21
order,1
situated,22
lost,1
introduced,1
charming,1
exonerated,1
alfred,5
got,1
stay,13
mean,1
recorded,2
held,7
worry,1
traced,1
started,1
discovered,7
mined,9
includes,2
need,3
needs,1
posted,1
formed,7
burned,1
concentrated,1
pick,1
ordered,1
mandated,1
celebrated,5
peoplefleeing,1
published,2
placed,3
taken,1
meet,4
represent,1
compare,1
manchester,1
being,1
flair,1
allowed,1
cost,1
living,1
involved,1
holds,1
accumulated,1
reported,1
derive,1
drain,1
imprisoned,2
originated,3
tend,1
invented,9
granville,1
produced,3
locate,1
owned,1
administered,1
view,2
installed,2
exiled,3
dhhs,1
acidified,1
docked,1
unified,1
captured,1
driven,1
connected,1
harvested,1
origonate,1
spawn,1
sold,2
encompasses,1
referred,1
epiq,1
established,3
sell,4
purchased,2
populated,2
assembled,1
reciprocate,1
deposited,1
possess,1
hope,1
spotted,3
tried,1
perform,1
locked,1
matters,1
happening,2
absorbed,1
positioned,1
stayed,1
produces,3
escorted,1
loving,1
stored,2
excel,1
died,1
taste,1
receive,1
painted,1
checked,1
carry,1
belongs,1
commissioned,1
displayed,1
apply,3
place,2
file,1
brewed,1
like,1
discuss,1
practiced,1
founded,2
signed,2
want,1
detonated,1
lies,1
released,1
employed,1
hosted,1
accept,1
haunted,1
replace,1
gained,1
bitten,1
focus,1
appear,1
grant,1
recycled,1
happened,1
worn,1
bordered,1
chosen,1
cleaned,1
heat,1
obtained,1
elvis,1
headquartered,1
laid,1
quarried,1
think,1
means,1
collect,1
unchained,1
display,1
trained,1
serviced,1
looking,1
belong,1
comprise,1
fairfield,1
banned,1
killed,1
imported,1
covered,1
